model,cat,strategy,divider,overlap,met,score
yolo11n,C_finetuned_supervised,bo_exploitation,3.0,0.15,map50,0.7373
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7856
yolo11m,A_unfinetuned,baseline,0.0,0.0,map50,0.0011
yolo11m,A_unfinetuned,bo_exploration,3.0,0.48,map50,0.5419
yolo11m,A_unfinetuned,bo_exploitation,3.0,0.27,map50,0.5483
yolo11m,A_unfinetuned,grid_search,4.0,0.5,map50,0.5667
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0
yolo11m,B_finetuned_unsupervised,bo_exploration,4.0,0.0,map50,0.8381
yolo11m,B_finetuned_unsupervised,bo_exploitation,3.0,0.46,map50,0.7993
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.8221
yolo11m,C_finetuned_supervised,bo_exploration,4.0,0.0,map50,0.8381
yolo11m,C_finetuned_supervised,bo_exploitation,4.0,0.0,map50,0.8381
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.8381
yolo11n,A_unfinetuned,baseline,0.0,0.0,map50,0.0006
yolo11n,A_unfinetuned,bo_exploration,4.0,0.5,map50,0.7478
yolo11n,A_unfinetuned,bo_exploitation,4.0,0.46,map50,0.7455
yolo11n,A_unfinetuned,grid_search,4.0,0.5,map50,0.7478
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0002
yolo11n,B_finetuned_unsupervised,bo_exploration,3.0,0.5,map50,0.6893
yolo11n,B_finetuned_unsupervised,bo_exploitation,3.0,0.4,map50,0.6925
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7227
yolo11n,C_finetuned_supervised,bo_exploration,3.0,0.47,map50,0.6846
yolo11n,C_finetuned_supervised,bo_exploitation,3.0,0.28,map50,0.6887
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7409
yolo11n,A_unfinetuned,baseline,0.0,0.0,map50,0.0009
yolo11n,A_unfinetuned,bo_exploration,4.0,0.5,map50,0.7713
yolo11n,A_unfinetuned,bo_exploitation,2.0,0.36,map50,0.5571
yolo11n,A_unfinetuned,grid_search,4.0,0.5,map50,0.7713
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0009
yolo11n,B_finetuned_unsupervised,bo_exploration,2.0,0.04,map50,0.5291
yolo11n,B_finetuned_unsupervised,bo_exploitation,2.0,0.25,map50,0.5354
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7283
yolo11n,C_finetuned_supervised,bo_exploration,4.0,0.5,map50,0.7283
yolo11n,C_finetuned_supervised,bo_exploitation,3.0,0.24,map50,0.7023
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.7475
rtdetr-l,A_unfinetuned,baseline,0.0,0.0,map50,0.0029
rtdetr-l,A_unfinetuned,bo_exploration,3.0,0.5,map50,0.662
rtdetr-l,A_unfinetuned,bo_exploitation,3.0,0.01,map50,0.6572
rtdetr-l,A_unfinetuned,grid_search,4.0,0.5,map50,0.7066
rtdetr-l,B_finetuned_unsupervised,baseline,0.0,0.0,map50,0.0008
rtdetr-l,B_finetuned_unsupervised,bo_exploration,2.0,0.48,map50,0.5034
rtdetr-l,B_finetuned_unsupervised,bo_exploitation,2.0,0.04,map50,0.5316
rtdetr-l,B_finetuned_unsupervised,grid_search,4.0,0.5,map50,0.7607
rtdetr-l,C_finetuned_supervised,bo_exploration,3.0,0.0,map50,0.7276
rtdetr-l,C_finetuned_supervised,bo_exploitation,4.0,0.27,map50,0.7611
rtdetr-l,C_finetuned_supervised,grid_search,4.0,0.0,map50,0.779
