model,n_params,is_finetune,thread,iters,time_per_epoch,max_mem,metric,strategy,time_hptuning,time_inference,divider,overlap,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,cat
rtdetr-l,45.0,1_NOFT,5,3,36.99,20640.755,baseline,baseline,0.0,4.47,0.0,0.0,0.0,0.0003,0.0007,0.0001,0.0001,82220,82215,7285,A_unfinetuned
rtdetr-l,45.0,1_NOFT,5,3,36.99,20640.755,count,bo_exploration,3.12,8.59,1.0,0.47,0.0004,0.0028,0.0056,0.001,0.0017,82220,82139,14513,A_unfinetuned
rtdetr-l,45.0,1_NOFT,5,3,36.99,20640.755,count,bo_exploitation,3.32,8.52,1.0,0.4,0.0004,0.0028,0.0056,0.001,0.0017,82220,82139,14513,A_unfinetuned
rtdetr-l,45.0,1_NOFT,5,3,36.99,20640.755,count,grid_search,5.82,113.76,4.0,0.5,0.3528,0.6475,0.7627,0.6522,0.7031,82220,28597,16680,A_unfinetuned
rtdetr-l,45.0,2_FT,5,3,24.44,21014.794,baseline,baseline,0.0,4.39,0.0,0.0,0.0001,0.0006,0.0011,0.0001,0.0002,82220,82211,8171,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,5,3,24.44,21014.794,count,bo_exploration,5.0,75.36,3.0,0.62,0.3504,0.6312,0.7636,0.5957,0.6693,82220,33243,15159,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,5,3,24.44,21014.794,count,bo_exploitation,4.92,47.56,2.0,0.45,0.2048,0.4678,0.5503,0.4344,0.4855,82220,46502,29188,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,5,3,24.44,21014.794,count,grid_search,7.03,115.8,4.0,0.5,0.3854,0.6611,0.763,0.6555,0.7052,82220,28326,16744,B_finetuned_unsupervised
rtdetr-l,45.0,2_FT,5,3,24.44,21014.794,map,bo_exploration,13.64,44.78,4.0,-0.12,0.3941,0.6645,0.7625,0.6386,0.6951,82220,29718,16350,C_finetuned_supervised
rtdetr-l,45.0,2_FT,5,3,24.44,21014.794,map,bo_exploitation,10.22,41.57,2.0,0.16,0.2114,0.469,0.5644,0.4227,0.4834,82220,47464,26822,C_finetuned_supervised
rtdetr-l,45.0,2_FT,5,3,24.44,21014.794,map,grid_search,16.21,44.61,4.0,0.0,0.3941,0.6645,0.7625,0.6386,0.6951,82220,29718,16350,C_finetuned_supervised
