model,cat,strategy,divider,overlap,met,score
yolo11n,A_unfinetuned,grid_search,4.0,0.5,time_inference,83.4
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,2.77
yolo11n,B_finetuned_unsupervised,bo_exploration,2.0,0.62,time_inference,32.15
yolo11n,B_finetuned_unsupervised,bo_exploitation,1.0,0.56,time_inference,5.0
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,65.53
yolo11n,C_finetuned_supervised,bo_exploration,3.0,0.53,time_inference,47.54
yolo11n,C_finetuned_supervised,bo_exploitation,2.0,0.35,time_inference,27.19
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,26.44
yolo11m,A_unfinetuned,baseline,0.0,0.0,time_inference,3.85
yolo11m,A_unfinetuned,bo_exploration,4.0,0.2,time_inference,41.0
yolo11m,A_unfinetuned,bo_exploitation,3.0,0.04,time_inference,28.18
yolo11m,A_unfinetuned,grid_search,4.0,0.5,time_inference,74.74
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,3.45
yolo11m,B_finetuned_unsupervised,bo_exploration,2.0,-0.12,time_inference,18.34
yolo11m,B_finetuned_unsupervised,bo_exploitation,3.0,0.58,time_inference,52.37
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,70.74
yolo11m,C_finetuned_supervised,bo_exploration,4.0,-0.12,time_inference,29.05
yolo11m,C_finetuned_supervised,bo_exploitation,4.0,-0.09,time_inference,29.03
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,29.02
rtdetr-l,A_unfinetuned,baseline,0.0,0.0,time_inference,4.59
rtdetr-l,A_unfinetuned,bo_exploration,4.0,0.6,time_inference,113.17
rtdetr-l,A_unfinetuned,bo_exploitation,2.0,0.09,time_inference,22.11
rtdetr-l,A_unfinetuned,grid_search,4.0,0.5,time_inference,113.45
rtdetr-l,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,4.16
rtdetr-l,B_finetuned_unsupervised,bo_exploration,3.0,0.62,time_inference,70.44
rtdetr-l,B_finetuned_unsupervised,bo_exploitation,4.0,0.41,time_inference,109.8
rtdetr-l,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,109.75
rtdetr-l,C_finetuned_supervised,bo_exploration,3.0,-0.12,time_inference,36.06
rtdetr-l,C_finetuned_supervised,bo_exploitation,3.0,0.28,time_inference,43.25
rtdetr-l,C_finetuned_supervised,grid_search,4.0,0.25,time_inference,58.73
yolo11n,A_unfinetuned,baseline,0.0,0.0,time_inference,3.26
yolo11n,A_unfinetuned,bo_exploration,4.0,0.62,time_inference,74.04
yolo11n,A_unfinetuned,bo_exploitation,3.0,0.26,time_inference,32.85
yolo11n,A_unfinetuned,grid_search,4.0,0.5,time_inference,74.02
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,2.75
yolo11n,B_finetuned_unsupervised,bo_exploration,4.0,0.62,time_inference,65.54
yolo11n,B_finetuned_unsupervised,bo_exploitation,3.0,0.36,time_inference,29.48
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,65.45
yolo11n,C_finetuned_supervised,bo_exploration,4.0,-0.12,time_inference,26.43
yolo11n,C_finetuned_supervised,bo_exploitation,3.0,-0.12,time_inference,24.41
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,26.42
yolo11m,A_unfinetuned,baseline,0.0,0.0,time_inference,3.55
yolo11m,A_unfinetuned,bo_exploration,3.0,0.62,time_inference,52.99
yolo11m,A_unfinetuned,bo_exploitation,3.0,0.62,time_inference,52.92
yolo11m,A_unfinetuned,grid_search,4.0,0.5,time_inference,70.81
yolo11m,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,3.31
yolo11m,B_finetuned_unsupervised,bo_exploration,4.0,0.62,time_inference,68.39
yolo11m,B_finetuned_unsupervised,bo_exploitation,3.0,0.62,time_inference,50.59
yolo11m,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,68.5
yolo11m,C_finetuned_supervised,bo_exploration,2.0,0.62,time_inference,35.32
yolo11m,C_finetuned_supervised,bo_exploitation,4.0,0.08,time_inference,27.66
yolo11m,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,27.71
rtdetr-l,A_unfinetuned,baseline,0.0,0.0,time_inference,4.41
rtdetr-l,A_unfinetuned,bo_exploration,4.0,0.62,time_inference,109.66
rtdetr-l,A_unfinetuned,bo_exploitation,2.0,0.61,time_inference,45.16
rtdetr-l,A_unfinetuned,grid_search,4.0,0.5,time_inference,109.73
rtdetr-l,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,3.87
rtdetr-l,B_finetuned_unsupervised,bo_exploration,4.0,0.21,time_inference,59.11
rtdetr-l,B_finetuned_unsupervised,bo_exploitation,1.0,0.56,time_inference,7.58
rtdetr-l,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,110.27
rtdetr-l,C_finetuned_supervised,bo_exploration,4.0,-0.12,time_inference,42.97
rtdetr-l,C_finetuned_supervised,bo_exploitation,4.0,0.23,time_inference,59.2
rtdetr-l,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,42.87
yolo11n,A_unfinetuned,baseline,0.0,0.0,time_inference,3.22
yolo11n,A_unfinetuned,bo_exploration,2.0,0.62,time_inference,35.94
yolo11n,A_unfinetuned,bo_exploitation,2.0,0.39,time_inference,35.96
yolo11n,A_unfinetuned,grid_search,4.0,0.5,time_inference,72.52
yolo11n,B_finetuned_unsupervised,baseline,0.0,0.0,time_inference,2.95
yolo11n,B_finetuned_unsupervised,bo_exploration,3.0,0.62,time_inference,52.23
yolo11n,B_finetuned_unsupervised,bo_exploitation,3.0,-0.01,time_inference,26.55
yolo11n,B_finetuned_unsupervised,grid_search,4.0,0.5,time_inference,71.2
yolo11n,C_finetuned_supervised,bo_exploration,4.0,-0.12,time_inference,28.62
yolo11n,C_finetuned_supervised,bo_exploitation,4.0,-0.12,time_inference,28.6
yolo11n,C_finetuned_supervised,grid_search,4.0,0.0,time_inference,28.58
yolo11m,A_unfinetuned,baseline,0.0,0.0,time_inference,3.2
yolo11m,A_unfinetuned,bo_exploration,3.0,0.27,time_inference,35.6
yolo11m,A_unfinetuned,bo_exploitation,3.0,0.62,time_inference,58.02
