model,n_samples,split,strategy,n_obs,map_mean,map_std,f1_mean,f1_std,pre_mean,pre_std,rec_mean,rec_std
yolo11n,64,test_a02,grid_search,52,0.5794596153846154,0.1023603252253593,0.6228865384615384,0.08349205205533194,0.6022,0.10291809802926201,0.6513846153846153,0.07446837040009166
yolo11n,64,test_a03,baseline,52,0.6719076923076923,0.055182697793299346,0.6798173076923076,0.04726048683772485,0.7428538461538461,0.043543975795215344,0.6282615384615385,0.05821253538558598
yolo11n,64,test_a03,grid_search,52,0.5358480769230769,0.10058083762919277,0.5932288461538462,0.08647389345705979,0.5951807692307692,0.0995313194150199,0.5955346153846154,0.08479851063392282
yolo11n,64,test_b01,baseline,52,0.5262769230769231,0.07597439872045808,0.5563634615384616,0.06812287637660362,0.5865250000000001,0.07027219592134462,0.5342692307692307,0.08326775507176112
yolo11n,64,test_b01,grid_search,52,0.39892115384615384,0.13442886060421852,0.48289615384615386,0.11945500254060468,0.46649615384615384,0.13244644639018305,0.5067403846153846,0.11435747231536282
yolo11n,64,test_b02,baseline,52,0.6348846153846153,0.10179405465249074,0.6483557692307692,0.07364484570828214,0.6643307692307693,0.10438527155228243,0.6406557692307692,0.06470645757834269
yolo11n,64,test_b02,grid_search,51,0.5600549019607843,0.12039099187850473,0.5965549019607843,0.096912138174174,0.5927235294117646,0.11883901478594527,0.6124196078431372,0.10128373614674342
yolo11n,64,test_b03,baseline,51,0.4912450980392157,0.12798055526325158,0.47040196078431373,0.12655969894116542,0.6218705882352941,0.21427962413082363,0.39790980392156866,0.0975211223374751
yolo11n,64,test_b03,grid_search,51,0.2416843137254902,0.13739700778772299,0.2407705882352941,0.12709450860539592,0.23554313725490197,0.1645737697871711,0.2897313725490196,0.1380688762758589
yolo11n,256,test_a01,baseline,51,0.933356862745098,0.011203254079096144,0.9194666666666667,0.01019159784659239,0.9223,0.013218169313486652,0.9168529411764706,0.014399365999115043
yolo11n,256,test_a01,grid_search,51,0.9079745098039216,0.025744722512680177,0.875170588235294,0.03408162140578201,0.8771823529411765,0.04067609472838981,0.8746509803921568,0.04281188326877954
yolo11n,256,test_a02,baseline,51,0.7991470588235294,0.04557539842038102,0.8086784313725491,0.03105043841059565,0.8152098039215686,0.03562563265348119,0.8030627450980393,0.035652090882776086
yolo11n,256,test_a02,grid_search,51,0.7208588235294119,0.046133507026761285,0.7354313725490196,0.03465572674289821,0.7265686274509804,0.04449258585515611,0.747035294117647,0.04759619658556517
yolo11n,256,test_a03,baseline,51,0.7517627450980392,0.03723737885933603,0.7522156862745097,0.031195790565709446,0.7967470588235295,0.032897613001196174,0.7128137254901961,0.034225768184850666
yolo11n,256,test_a03,grid_search,51,0.7130764705882353,0.06037188282051601,0.7485450980392158,0.05819201083903352,0.7577372549019608,0.060752757832988336,0.7410254901960783,0.06268993489592167
